dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	ratioPL
2018-01-01	A0005	930	185	10	C	95	185095	832763,39	6780586,31	0	186	10	C	25	186025	833511,52	6780020,02	0	2018	1	19546	16,94
2018-01-01	A0005	7491	186	10	C	25	186025	833511,52	6780020,02	0	193	52	C	516	193516	840161,36	6776918,27	0	2018	1	19546	16,94
2018-01-01	A0005	14751	193	52	C	516	193516	840161,36	6776918,27	0	208	52	C	267	208267	853589,98	6773033,12	0	2018	1	19546	16,94
2018-01-01	A0005	19833	208	52	C	267	208267	853589,98	6773033,12	0	228	52	C	100	228100	866053,82	6758632,41	0	2018	1	21711	21,51
2018-01-01	A0005A	364	0	91	C	0	0	665760,68	6837382,35	0	0	91	C	364	364	665798,84	6836906,33	0	2018		64398	6,86
2018-01-01	A0005A	2101	0	91	C	364	364	665798,84	6836906,33	0	2	77	C	455	2465	667163,44	6835414,5	0	2018		64398	6,86
2018-01-01	A0005A	2246	2	77	C	455	2465	667163,44	6835414,5	0	4	77	C	700	4711	669097,78	6834256,51	0	2018		59762	8,71
2018-01-01	A0005A	4665	4	77	C	700	4711	669097,78	6834256,51	0	9	77	C	360	9376	673326,69	6832720,47	0	2018		41515	6,32
2018-01-01	A0006	4275	0	91	N	0	0	650377,75	6849789,2	0	12	91	N	690	4275	649016,85	6845768,84	0	2018	1	119468	10
2018-01-01	A0006	7815	12	91	N	690	4275	649016,85	6845768,84	0	20	91	N	515	12090	653843,75	6840115,86	0	2018	1	167166	8,7
